question,credit_card,loan,general
 Có thể tôi mở hai vay khoản để mua hai xe máy khác nhau?,0,0,1
 Dịch vụ gì của ngân hàng cho phép tôi trả tiền cho các giao dịch trước để nạp dư thừa vào một thẻ ghi nợ của mình?,0,0,1
 Tình hình doanh nghiệp của tôi không ổn định nên tôi cần lãi suất thay đổi cho vay tín chấp. Có thể tôi yên tâm về việc ngân hàng sẽ cho tôi được lãi suất thay đổi khi các điều kiện của tôi thay đổi không?,0,1,0
 Bạn có thể hỗ trợ mình giải thích sự khác nhau giữa thẻ tín dụng và vay kính dịch?,1,0,0
" Nếu tôi muốn mở vay dự án để mở một cafe, tốt hơn được phân tích nhu cầu sẵn sàng của ngân hàng trước khi tôi được phê duyệt không?",0,0,1
" Có thể tôi lưu giữ vay để sau một thời gian, để sau đó trả lại với lãi suất thấp hơn?",0,1,0
 Thông tin nào cần để đạt được điều kiện để được mở tài khoản VPBank NEO?,1,1,0
" Khi dùng thẻ thành công, được nhận điều gì cho mỗi lượt giao dụng?",0,0,1
 Tại sao khi điểu chỉnh thông tin VPBank NEO thì phải chờ lâu?,0,0,1
 Vay Vốn nào có ưu đãi trải nghiệm tốt nhất cho khách hàng mới?,0,1,0
 Trên ứng dụng nào có thể kiểm soát giao dịch tài chính dễ dàng hơn?,1,1,0
 Tôi có thể mở vay tín chấp và lần lượt mở nhiều thẻ tín dụng trên tài khoản tín dụng của mình không?,0,0,1
 Điều kiện để được mở vay tín chấp ưu đãi là gì?,0,1,0
" Ngoài phí nộp thanh toán hàng tháng, có bất kỳ chi phí khác nào phải được trả trong việc sử dụng dịch vụ vay trả nợ trước hạn khoản vay cũ?",0,0,1
 Dịch vụ trả nợ trước hạn khoản vay cũ thuội vào thế mạnh gì trong danh mục sản phẩm?,0,0,1
 Có thể một ngân hàng cho phép khách hàng có thẻ tín dụng và vay cùng một lúc?,1,0,0
" Điều kiện để được sử dụng dịch vụ tiết kiệm tiền lãi trước, là gì?",0,1,0
 Có phải luôn có chiết khấu cho người đang gửi tiền gửi về dịch vụ Logistics không?,0,1,0
 Làm sao để một doanh nghiệp siêu nhỏ được xác thực cho việc mua ô tô qua vay?,0,0,1
 VPBank NEO có chính sách giảm phí hoặc tăng lãi suất cho khách hàng khi họ sử dụng được tài khoản tiền điện tử läng dưới một thời gian định nghĩa?,0,0,1
 Dịch vụ ngân hàng trực tuyến tốt nhất cho việc quảng cáo và hợp tác doanh nghiệp?,1,1,0
 Biz Controller của một ngân hàng có thể hỗ trợ khách hàng trong việc tìm hiểu và quản lý một số số liệu thống kê quan trọng cho doanh nghiệp?,1,1,0
 Tôi có thể mở vay doanh nghiệp chưa có doanh nghiệp mới không?,0,0,1
 Loại thẻ tốt nhất để giữ tiền theo suất lãi thấp nhất?,0,0,1
 Có thể sử dụng thẻ tín dụng để vay tiền cho công việc xây dựng nhà mình không?,1,0,0
 Điều kiện để được mở thẻ ghi nợ tự do nhất?,1,0,0
 Ngân hàng có cung cấp dịch vụ giao dịch qua ứng dụng điện thoại không?,1,0,0
" Tôi có thể dùng thẻ tiết kiệm để mua điện thoại mới, hoặc phải dùng vay?",1,0,0
 Lãi suất cho vay tín chấp cho doanh nghiệp siêu nhỏ bình quân là bao nhiêu?,0,0,1
 Có thể khách hàng thay đổi chính sách bảo lãnh khi có trường hợp gửi lại hàng trong quá khứ?,1,0,0
" Tôi có thể trả lương cho một nhân viên qua thẻ, hay phải qua tài khoản ngân hàng?",0,0,1
 Ngân hàng có hỗ trợ dịch vụ nào giúp kiểm soát lĩnh vực thưng gión?,1,0,0
 Vay tín chấp có giúp tăng sự trải nghiệm tốt hơn khi khách hàng dùng thẻ tín dụng?,0,0,1
" Trong việc mở khoản vay, tôi có thể chọn loại thẻ tín dụng để lần đầu tiên làm việc với ngân hàng không?",0,0,1
" Nếu có khoản vay tín chấp, ngân hàng có thể cho phép khách hàng có khoản vay nhanh hơn một lần nữa?",0,0,1
" Nếu người dùng đầu tư, có thể sử dụng dịch vụ chuyển tiền qua Internet Banking khi vay vốn?",0,0,1
 Có thể mở một tài khoản nộp khoản vay online và đăng ký cho vay tín chấp cùng lúc không?,0,0,1
 Làm sao để kiểm soát chi phí sử dụng dịch vụ chuyển tiền trực tuyến?,0,0,1
 Điều kiện để được ưu đãi cho gói tài khoản thanh toán VPSuper nào?,0,0,1
 Có thể giảm phí cho lần gửi giao dịch thứ hạn qua thẻ nào?,0,0,1
 Đến thời điểm nào sẽ có lãi suất vay tín chấp giảm xuống?,0,0,1
" Khi khách hàng muốn lúng túng nhiều vay cũ, có thể sử dụng Vay Lại Khản Vay Cũ của VPBank sao cho chính sách lãi suất, phí vay phù hợp nhất?",0,0,1
" Hợp đồng giao dịch thông qua email an toàn, giữ nhiệm vụ bảo mật thông tin và đảm bảo tiện lợi cho khách hàng?",0,0,1
" Sử dụng giao dịch qua email, có thể trả ngay lương cho thẻ tín dụng một cách đơn giản và nhanh?",0,0,1
" Vay Thuế+ có kính phí vay, phí bảo hình hay không?",0,0,1
 Có thể một người có thể có hai hoặc hơn hai tài khoản thanh toán của mình trên một ngân hàng?,0,0,1
" Điều kiện để được chấp nhận cho vay tín dụng, vay doanh nghiệp do nữ làm chủ hoặc vay khoản vay thế chấp được gì?",0,0,1
 Làm thế nào để đảm bảo an toàn trong việc gửi tiền qua internet?,1,0,1
 Có thể chèn thẻ vay tín dụng vào đội thẻ tài xế không?,0,0,1
 Tại sao ngân hàng có chế độ tăng lượng tiền mặt cho tài khoản chính?,0,0,1
 Đang có khuyến mại nào cho sản phẩm Thẻ tín dụng trên giao dịch điện tử?,0,0,1
 Tôi có thể thanh toán lần cuối cùng vay qua đối tác ngân hàng không?,0,0,1
 Tại sao tôi không thể thực hiện giao dịch qua đối tác giao dịch của mình?,0,1,0
" Nếu tôi không thực hiện giao dịch trong thời gian được nghỉnh ngôn, thì ngân hàng có thể làm gì?",0,0,1
" Nếu tôi muốn mua một vải quần áo quá nặng để cho mình chiếm sự đáng chênh lệch, có thể sử dụng vay thế chấp sạp chợ để mua nó không?",0,0,1
" Khi đăng ký cho một thẻ tín dụng, phải cung cấp chính sách đóng hộ chứng từ lần nào cũng không?",0,0,1
" Tôi cần mở một thẻ ghi nợ cho việc mua xe, tuy nhiên tôi không biết được quy định về lãi suất để lên dự toán. Bạn có thể cho tôi biết lãi suất quy định cho thẻ ghi nợ này không?",0,1,0
 Tôi đang sử dụng một thẻ vay tín dụng của bạn và đã hoàn thành hoặc hết thời hạn của vay. Tôi muốn biết rõ hơn về việc trả lại vốn trước khi hết thời hạn: có một chiến dịch trả nợ nhanh hoặc không?,0,1,0
 Làm thế nào để biết sự tính chất và ưu nghiệp của các loại vay khách họi trước khi đăng ký?,1,0,0
 Sản phẩm nào của ngân hàng cho phép nạp tiền liên kết với thẻ tín dụng?,0,0,1
 Ngân hàng có cung cấp gì cho khách hàng khi dùng dịch vụ thanh toán lương qua Internet Banking?,0,0,1
 Tại sao chúng tôi cần bảo hiểm vấn đề vay vốn?,0,0,1
 Tại sao việc đăng ký tài khoản tín dụng online của VPBank đang ngạm chuyện?,0,0,1
 Tại sao tôi không thể nhận thẻ ghi nợ vay tín chấp?,0,0,1
 Tại sao lãi suất vay của tôi là gần như bằng với phí vay?,0,0,1
 Có kỳ hạn cho thẻ tín dụng hoặc không?,0,0,1
 Có thể tôi gửi tiền bằng chứng nhận quy định được nộp trực tuyến hay không?,1,0,0
 Tôi có thể sử dụng chương trình quảng cáo vay thế chấp cùng vay một lượng cụ thể?,0,0,1
" Khi một vay tín chấp chế độ trả lại, tài khoản tín dụng của tôi sẽ bị khóa?",0,0,1
 Ngân hàng có hỗ trợ gì cho khách hàng muốn thay đổi số điện thoại trả lúc trưng bày cho chúng tôi?,0,0,1
" Điều kiện thông tin gia dụng, mở khóa và hoạt động cho vay tín chấp là gì?",0,1,0
 Tôi có thể mua sắm quốc tế bằng thẻ tín dụng của mình?,0,0,1
 Tôi có thể chọn chương trình tài trợ dự án trọn gói và vay thế chấp cùng lúc?,1,0,0
" Đối với vay tín chấp, tôi phải xin tờ chứng nhận lão độ bằng bất kỳ việc nào không?",0,0,1
 Ngân hàng có chính sách hỗ trợ giảm lãi suất cho khách hàng dùng dịch vụ Western Union?,0,0,1
 Tìm hiểu về điều kiện và yêu cầu để được nhận vay thế chấp sạp chợ?,0,0,1
 Sản phẩm nào giúp tăng sức bảo mật cho tài khoản online?,0,0,1
 Tại sao việc lữu chọn một thẻ tốt là quan trọng?,0,0,1
 Dạng dịch vụ vay tốt nhất cho doanh nghiệp?,0,0,1
 Tôi có thể chuyển thẻ tín dụng sang một loại khác?,0,0,1
 Lãi suất sử dụng để gửi tiết kiệm được tại đâu tốt nhất?,0,1,0
 Tại sao chúng tôi cần dịch vụ giám sát tiền bạc đối với quỹ đầu tư của mình?,0,0,1
 Có thể mở thẻ nội địa và thẻ quốc tế cùng lúc không?,0,0,1
 Tại sao đại lý tốt hơn các thẻ tín dụng khi giao dịch trực tuyến?,0,0,1
" Ngoài những gì, công cụ giám sát giao dịch liên tục của ngân hàng có thể mang đến giúp khách hàng sao chép giao dịch?",0,0,1
" Nếu tôi muốn vay tiền để mua xe mô tô, tìm hiểu về các loại vay vốn của ngân hàng và điều kiện xin vay nào hợp lý nhất?",0,1,0
 Tôi có thể mở hội khẩu cho sản phẩm tài chính và cho vay hết không?,1,0,0
" Để được đón tư vấn về sản phẩm Dịch vụ chuyển tiền liên ngân hàng qua Internet Banking, tôi cần giữa gì?",0,0,1
 VPBank Diamond có tính năng hỗ trợ chuyển tiền từ máy tính sang thiết bị di động không?,0,0,1
" Khi tôi sử dụng chính sách Chọn đạo hạn với sản phẩm Tài trợ XNK, có bao nhiêu loại lệnh được hỗ trợ?",0,1,0
" Bạn có thể cho tôi phân tích và so sánh giữa sản phẩm Tiết kiệm Thịnh Vượng và Tiết kiệm Phát Lộc Thịnh Vượng, để tôi biết rõ hơn về lợi ích và hạn chế của mỗi sản phẩm?",1,0,0
 Ngân hàng có gì mà không có trong Chương Trình Tài trợ dự án trọn gói của mình?,1,0,0
" Nếu tôi muốn được sử dụng VPBank NEO, tôi phải có một thẻ nào của Ngân hàng VPBank?",0,0,1
 Tôi cần một gói giải pháp tài chính tốt nhất để bắt đầu kinh doanh. Liệu tôi nên chọn vay hoặc mở thẻ tín dụng?,1,0,0
 Điều kiện để sử dụng dịch vụ vay trực tuyến trên internet banking là gì?,0,0,1
 Có thể mở thẻ tín dụng và vay cùng một lúc?,1,0,0
 Phí giao dịch điện tử của Ngân hàng đối với khách hàng có được thu hộ hoàn toàn miễn phí?,0,0,1
" Tôi muốn mở một vay thế chấp để mua một xe máy, có nên chọn vay trả góp qua đợt thanh toán (NPL) hoặc vay thế chấp sạp chợ?",0,0,1
" Nếu mình chọn vay thế chấp sạp chợ, có thể mình cho phép sử dụng tiền ngân hàng để thanh toán lãi?",0,0,1
 Thanh toán dịch vụ qua email tốt cho khách hàng nào: Vay hoặc Thẻ?,0,0,1
 Được không được mở nhiều hơn một vay tín chấp để một yêu cầu?,0,0,1
" Trong quá trình mở thẻ, khiếu nại giao dịch thành công bao nhiêu lần?",0,0,1
 Có thể mở tài khoản cá nhân và thẻ tín dụng cùng lúc không?,0,0,1
" Dịch vụ gửi tiền qua email, làm thế nào để an toàn?",1,0,1
